apples,bananas,beer,bread,butter,cereal,cheese,chicken,coffee,diapers,eggs,juice,milk,onions,pasta,rice,tea,tomatoes,yogurt
False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True
False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True
True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True
False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False
False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
False,True,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False
False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False
False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False
False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
